"latitude","longitude","altitude","accuracy","time"
48.81103696692365,2.3836447304241473,187,30,1424419890675
48.811340726224394,2.383779648168014,145,10,1424419910000
48.811340726224394,2.383779648168014,145,10,1424419910000
48.81152794078586,2.3840901990400063,156,10,1424419926000
48.81152794078586,2.3840901990400063,156,10,1424419926000
48.811815898089804,2.3847943778217773,150,10,1424419941000
48.8119960038475,2.3851068496667542,144,10,1424419956000
48.812200923356855,2.385407211698052,140,30,1424419980000
48.812200923356855,2.385407211698052,140,30,1424419980000
48.812380185277384,2.3857153665785997,139,50,1424419989000
48.812380185277384,2.3857153665785997,139,50,1424419989000
48.81270739384284,2.3860679362537827,128,10,1424420017000
48.81270739384284,2.3860679362537827,128,10,1424420017000
48.81249538197738,2.3863610739139607,125,10,1424420022000
48.81259606034753,2.3875138528944935,104,10,1424420077000
48.812586761805065,2.3879333324244487,102,10,1424420099000
48.812572427208444,2.3887661484095846,92,30,1424420139000
48.81238775628423,2.389088857497212,91,30,1424420149000
48.81238775628423,2.389088857497212,91,30,1424420149000
48.8122053948336,2.3894078549029474,90,30,1424420162000
48.81200189484035,2.3897013527697113,89,30,1424420177000
48.811778011002836,2.3899464611174577,88,10,1424420197000
48.811778011002836,2.3899464611174577,88,10,1424420197000
48.81168713433113,2.3903374220428226,91,10,1424420224000
48.81168713433113,2.3903374220428226,91,10,1424420224000
48.81197608714766,2.3910556919843935,95,10,1424420264000
48.81197608714766,2.3910556919843935,95,10,1424420264000
48.81250393047541,2.3920040845644706,104,30,1424420312000
48.81250393047541,2.3920040845644706,104,30,1424420312000
48.812639213173696,2.3923655684183096,103,10,1424420329000
48.812639213173696,2.3923655684183096,103,10,1424420329000
48.81279565502375,2.3927050364092866,100,30,1424420347000
48.81312596636057,2.3932824854736636,99,10,1424420376000
48.81312596636057,2.3932824854736636,99,10,1424420376000
48.8133849979112,2.393429854266052,97,30,1424420394000
48.81366861891542,2.393482252495426,97,30,1424420508000
48.81366861891542,2.393482252495426,97,30,1424420508000
